"county","year","subrur","temp","frost","sparr","blabi","bluti","coldo","chaff","coati","grefi","greti","housp","robin","starl"
"Birmingham",11,1,3.313333333,-0.020434033,0.076923077,1.230769231,4.730769231,0.038461539,3.884615385,0.76923077,1.307692308,1.346153846,22.30769231,0.730769231,13.1923077
"Birmingham",12,1,1.798333333,0.675448891,0.038461539,1.538461539,3.730769231,0,2.038461538,0.923076923,1.76923077,2.5,19.03846154,0.846153846,7.961538462
"Birmingham",13,1,3.406666667,0.085776622,0,0.76923077,2.307692308,0.076923077,1.153846154,0.5,0.76923077,0.846153846,20.96153846,1.038461539,8.038461539
"Birmingham",14,1,3.085,0.244222025,0,2.307692308,4.384615385,0.076923077,4.423076923,1.230769231,0.807692308,2.730769231,15.84615385,1.5,5.230769231
"Birmingham",15,1,2.341666667,0.575042097,0.038461539,1.115384616,1.884615385,0.923076923,2.26923077,0.5,0.423076923,1.384615385,15.57692308,0.923076923,5.884615385
"Birmingham",16,1,1.981666667,0.933140316,0,2.076923077,3.615384615,0.076923077,4.076923077,1,0.615384615,2.153846154,9.615384615,1,1
"Birmingham",17,1,2.515,0.489725342,0,0.524038462,3.903846154,0.0625,3.048076923,0.884615385,0.600961539,2.389423077,6.096153846,0.610576923,0.975961539
"Birmingham",18,1,3.72,-0.885209309,0,0.611538462,3.380769231,0,1.684615385,0.292307693,0,2.234615385,3.219230769,0.75,0.076923077
"Birmingham",19,1,3.928333333,0.36668349,0,0.384615385,3.692307692,0.115384616,2.538461539,0.961538462,1.153846154,2.807692308,0.615384616,0.807692308,0
"Birmingham",20,1,4.596666667,-0.730246222,0,0.321678322,3.70979021,0,2.898601399,1.206293707,0.55944056,2.43006993,0.045454546,0.58041958,0
"Birmingham",21,1,2.878333333,0.810098464,0.0961538465,0.423076923,5.557692308,0.1153846155,0.7692307695,0.903846154,5.076923077,2.2115384615,0.730769231,0.9230769235,0.0192307695
"Birmingham",22,1,2.928333333,-0.214863373,0,1.346153846,6.846153847,0.153846154,1.461538462,0.923076923,5.961538462,2.692307693,0.961538462,1,0
"Birmingham",23,1,2.645833333,0.3919302855,0.0961538465,1.0961538465,4.1923076925,0.6153846155,0.634615385,0.730769231,3.1346153845,2.211538462,5.0769230765,0.7692307695,3.0192307695
"Birmingham",24,1,2.54,0.543701248,0.0384615385,1.1730769235,4.884615385,1.4423076925,0.211538462,0.8653846155,2.2115384615,1.7307692315,3.480769231,0.923076923,2.5961538465
"Birmingham",25,1,3.67,-0.151020903,0.0192307695,1.0961538465,4.1730769235,0.8653846155,0.2692307695,0.9807692305,1.884615385,1.5192307695,4.6923076915,0.961538462,3.153846154
"Birmingham",26,1,2.778333333,0.091580483,0.038461539,0.653846154,2.807692308,0.730769231,0,0.884615385,0.26923077,1.461538462,6.346153847,0.923076923,5.038461539
"Birmingham",27,1,2.985,0.324315306,0.076923077,0.538461538,2.192307693,1.307692308,0,1,2.26923077,0.923076924,6.846153847,0.730769231,0.961538462
"Birmingham",28,1,4.281666667,-0.70238769,0.115384616,0.884615385,2.769230769,1.153846154,0.038461539,0.846153846,2.692307693,1.307692308,6.307692308,1,0.730769231
"Birmingham",29,1,3.565,-0.014049786,0,2.461538462,2.730769231,0.615384616,0.076923077,0.76923077,1.576923077,1.692307693,6.846153847,0.846153847,2.576923077
"Birmingham",30,1,3.5266666665,-0.0198536465,0,2.2692307695,1.9423076925,1.173076923,0.0192307695,1.0192307695,0.576923077,1.403846154,3.5192307695,1.230769231,0.846153846
"Birmingham",31,1,2.8441666665,-0.311207464,0,1.2692307695,3.0961538465,1.288461539,0.0192307695,0.961538462,0.5961538465,1.634615385,1.5961538465,1.0000000005,0.153846154
"Birmingham",32,1,4.0408333335,-0.9246755625,0.038461539,2.365384616,2.3269230775,1.538461539,0.826923077,1.2307692305,1.3653846155,1.1730769235,2.307692308,1.2307692305,0.211538462
"Birmingham",33,1,3.35,0.1577444975,0.083916084,3.5594405595,2.188811189,1.994755245,0.6800699305,0.975524476,1.2342657345,1.4562937065,4.6171328675,1.2972027975,1.3181818185
"Birmingham",34,1,3.2216666665,0.4763764615,0.0384615385,2.7083333335,2.480769231,2.057692308,0.453525641,0.9342948715,2.2339743595,1.668269231,4.961538462,1.4262820515,0.7692307695
"Birmingham",35,1,3.811666667,-0.595306456,0.057692308,1.876602564,2.299679487,2.057692308,0.1923076925,0.448717949,1.096153846,1.4887820515,5.7243589735,1.482371795,0.173076923
